FECHA;Meteo_Madrid.Vel viento (m/s);Meteo_Madrid.Temperatura (ºC);Meteo_Madrid.Presión barométrica (mb);Meteo_Madrid.Precipitación (l/m2);M30.UsuariosCalle30 (veh);M30.vehxKmTotales;M30.vehxKmRamales;SO2 (µg/m 3);CO (mg/m3);NO (µg/m3);NO2 (µg/m 3);NOx (µg/m3);PM2.5 (µg/m3);PM10 (µg/m3);O3 (µg/m 3);TOL (µg/m3);BEN (µg/m3);EBE (µg/m3);TCH (mg/m3);CH4 (mg/m3);NMHC (mg/m3)
09/10/2020;0,7;19,55;948,5;0;1174714;7447410;1981451;3;0,4;15,5;51;77,5;11,5;22,5;37;3,9;0,45;0,6;1,31;1,04;0,23
10/10/2020;1,38;18,55;949;0;645227;3985506;1102298;1;0,2;2;17;19;8;15;52,5;1,25;0,2;0,2;1,21;1,02;0,14
11/10/2020;1,475;13,85;950,5;0;556943;3393277;942861;1;0,2;1;6,5;8,5;2;6;63;0,3;0,1;0,1;1,16;1;0,15
12/10/2020;1,1;13,85;949,5;0;594630;3681785;1006919;1;0,2;1;12;14;3;5;70,5;0,5;0,2;0,1;1,17;0,99;0,16
13/10/2020;1;15,9;943,5;0;1206673;7509053;2014071;2;0,4;23,5;40;77;7;15;33,5;2,45;0,4;0,4;1,39;1,21;0,18
14/10/2020;1,2;14,3;941,5;0;1223026;7678811;2042984;1;0,3;3,5;21,5;26;3;8,5;54;0,85;0,2;0,1;1,17;0,95;0,15
15/10/2020;0,89;12,1;945;0;1221635;7645788;2045352;2;0,3;8,5;27,5;41;4;9;46;1,4;0,3;0,2;1,21;0,99;0,16
16/10/2020;0,805;10,95;946;0;1193567;7535693;2005848;2;0,3;10,5;39;55;5;13;41,5;1,7;0,4;0,35;1,31;1,01;0,18
17/10/2020;0,52;11,4;945;0;704236;4321347;1177471;2,5;0,4;9,5;44,5;60;9;18;36;2,35;0,4;0,45;1,34;1,03;0,18
18/10/2020;0,54;13,6;947,5;0;594505;3642002;994513;2,5;0,4;5,5;36,5;45;10;20;46;2,05;0,45;0,4;1,31;1,03;0,2
19/10/2020;0,87;15,75;945;0;1180669;7460925;1977785;3;0,4;7;41;52;10;30;42;2,55;0,3;0,4;1,28;1,04;0,18
20/10/2020;1,56;15,7;938,5;19,6;1193605;7486422;1984899;2;0,3;9,5;35;49;11;26;33,5;1,8;0,3;0,3;1,25;0,99;0,15
21/10/2020;2,18;15,1;939;2,8;1214970;7547503;2001180;1;0,2;3;23;27;4;9;47,5;1,05;0,2;0,2;1,24;0,99;0,14
22/10/2020;1,275;14,1;941,5;9,1;1258710;7668710;2039628;1;0,25;5;26;34;5;10;38,5;1;0,2;0,3;1,25;1,04;0,14
23/10/2020;1,055;12;948;3,9;1193917;7409191;1994666;1;0,3;5;28,5;37;5;8;41;1,15;0,25;0,25;1,22;0,97;0,14
24/10/2020;0,85;11,35;951;0,1;840940;5098574;1375059;2;0,3;7,5;27;38,5;7;12;31;1,4;0,35;0,4;1,43;1,08;0,15
25/10/2020;1,88;11,25;944;6,1;794152;4853594;1278771;1,5;0,2;1;12,5;14,5;4;8;51,5;0,55;0,2;0,15;1,23;0,96;0,14
26/10/2020;1,825;9,9;944,5;0,15;1311030;8065305;2171526;2;0,3;4;18,5;25;3;5;55,5;0,75;0,25;0,15;1,15;0,95;0,15
27/10/2020;1,26;11,05;946,5;0;1266477;8066540;2124248;2;0,3;6,5;25;37,5;5;9;45;1,3;0,3;0,4;1,24;0,98;0,15
28/10/2020;0,54;11,45;949;0;1296533;8121202;2157159;2;0,35;18;42;70,5;9;18;15;2,6;0,5;0,6;1,41;1,08;0,16
29/10/2020;0,605;13,2;952;0;1310535;8280792;2180849;3;0,5;23;42,5;79;13;19;21;3,2;0,6;0,65;1,26;1,04;0,17
30/10/2020;0,56;13,05;952;0;1260718;7777716;2065934;3;0,5;31;47;96;14;22;15,5;4,45;0,85;0,95;1,32;1,07;0,18
31/10/2020;0,6;14,6;951,5;0;865410;5267400;1411521;3;0,55;18;42;71,5;13;21;22;3,15;0,65;0,65;1,36;1,08;0,22
01/11/2020;0,475;14,75;951;0;797492;4886843;1296405;3;0,5;15,5;42,5;70,5;20;27;24;2,75;0,8;0,8;1,38;1,1;0,21
02/11/2020;0,54;15,25;953;0;721596;4443815;1175035;3;0,5;12,5;38,5;57;20;26;20;2,85;0,8;0,7;1,44;1,12;0,18
03/11/2020;1,13;13,7;953;2,4;1271297;7956126;2123887;2,5;0,4;16;33,5;58;11;15;19,5;2,85;0,45;0,7;1,27;1,05;0,14
04/11/2020;1,735;9,3;946,5;2,6;1269747;8033670;2121538;2,5;0,25;2;18,5;22,5;3;5;41,5;0,9;0,2;0,2;1,17;0,97;0,15
05/11/2020;1,51;10,85;946;12,8;1256679;7928701;2116871;2,5;0,3;5;30,5;37;5;7;29,5;1,15;0,25;0,3;1,17;0,98;0,15
06/11/2020;2,015;14,95;944,5;0,6;1277172;8071176;2135808;2;0,3;5;24;30;15;60;35,5;1,15;0,25;0,3;1,2;0,99;0,14
07/11/2020;1,315;12,75;945;11,4;818480;5080519;1367918;2;0,2;2;21,5;25,5;6;10;44,5;0,75;0,25;0,3;1,24;1,01;0,13
08/11/2020;0,485;12,2;949,5;0;769357;4720672;1270889;2,5;0,35;6;36;47;8;12;23;1,4;0,45;0,5;1,36;1,13;0,15
09/11/2020;0,465;12,7;949;6,4;761605;4627238;1237547;2,5;0,4;15,5;47;70,5;13;17;18;1,9;0,5;0,4;1,43;1,26;0,15
10/11/2020;0,52;11,9;952;0;1298050;8066977;2141600;4;0,4;24;45,5;84;10;18;16;2,7;0,5;0,5;1,36;1,07;0,16
11/11/2020;0,54;11,1;951;0;1311596;8260864;2174640;3,5;0,5;38,5;50,5;108,5;13;22;13;3,5;0,7;0,7;1,46;1,14;0,18
12/11/2020;0,505;11,6;948,5;0;1312485;8193566;2197187;4;0,5;28;50;98;16;24;11,5;4,2;0,7;0,8;1,32;1,1;0,18
13/11/2020;0,55;12,55;947,5;0;1323586;8249175;2193391;4;0,45;27;49;90,5;13;22;16,5;2,9;0,5;0,95;1,31;1,08;0,17
14/11/2020;0,395;12,1;947,5;1,45;897129;5466305;1461475;3,5;0,4;18;47,5;74;19;28;9;2,8;0,65;0,7;1,33;1,07;0,15
15/11/2020;0,955;13,75;948,5;0;720455;4458095;1196776;2;0,3;5;24,5;31;11;15;19,5;1,4;0,35;0,3;1,32;1,05;0,12
16/11/2020;0,58;14,75;950;0;1248403;7824262;2079626;3,5;0,5;39,5;44;104;11;18;11;4,2;0,6;0,7;1,41;1,09;0,16
17/11/2020;0,65;11,1;952;0,05;1263108;8033009;2090940;4;0,5;50,5;47;126;18;26;8;5,85;0,75;1,2;1,63;1,27;0,21
18/11/2020;0,59;11,65;953;0;1295138;8096003;2150244;3,5;0,5;44;45;109,5;16;29;8;4,65;0,65;0,8;1,44;1,15;0,19
19/11/2020;0,71;14,1;955;0;1382697;8551267;2263995;3,5;0,5;38,5;35;90;13;24;16;3,5;0,55;0,7;1,44;1,1;0,2
20/11/2020;0,78;12;954;0;1316534;8449915;2205609;3,5;0,4;13,5;36;57,5;4;8;28;1,75;0,35;0,6;1,24;1,04;0,16
21/11/2020;0,495;9,7;952,5;0;920443;5738223;1505281;4;0,4;14;41;63;6;12;22;1,95;0,55;0,6;1,41;1,09;0,18
22/11/2020;0,435;8,7;953;0;794054;5008134;1311904;4;0,5;20,5;45;79,5;11;19;20;2;0,65;0,6;1,41;1,08;0,18
23/11/2020;0,415;9,05;952;0;1281811;8023504;2116736;6;0,6;50;60;142;15;27;11,5;5,1;1;1,1;1,44;1,17;0,21
24/11/2020;0,39;7,85;948,5;0;1314724;8186020;2186664;5,5;0,55;45,5;63;135;19;31;9,5;5,15;0,85;1,1;1,5;1,13;0,21
25/11/2020;0,635;9,15;942,5;0,9;1375031;8542921;2246155;4;0,5;28;53;97;20;33,5;12,5;4,4;0,7;1;1,37;1,1;0,2
26/11/2020;1,08;10,5;939;6,6;1344106;8298031;2217916;2;0,4;8;40;54;11;18;30;1,55;0,4;0,6;1,21;1;0,16
27/11/2020;0,955;9,6;938;9,3;1371084;8314270;2185461;2;0,4;6;42;51;6;10;26;1,65;0,35;0,4;1,22;0,95;0,16
28/11/2020;0,775;9,7;936,5;0;1019302;6188958;1636742;3;0,3;11;36;53;10;13;28,5;1,75;0,4;0,55;1,4;1,09;0,17
29/11/2020;0,725;8,75;943,5;0;800095;4942312;1299823;3;0,3;9;33,5;47,5;12;16;23;1,5;0,55;0,45;1,28;1,04;0,17
30/11/2020;0,685;9,3;948,5;0;1314059;8199767;2161734;4,5;0,5;33,5;43;93,5;9;15;14;2,95;0,65;0,65;1,33;1,04;0,18
01/12/2020;0,625;10;948,5;0;1349946;8400940;2210165;5;0,45;26;44;84,5;7;12;17,5;3,15;0,6;0,5;1,27;1,03;0,18
02/12/2020;1,25;8,95;944;0;1347050;8434029;2236318;3,5;0,35;4,5;28,5;36,5;5;9;37;1,8;0,3;0,4;1,2;0,97;0,17
03/12/2020;1,265;5;940;0;1389829;8716053;2282421;3,5;0,4;19;44;73;8;13;28;2,45;0,5;0,5;1,31;0,99;0,18
04/12/2020;2,265;5,9;928;2,3;1343245;8511675;2219277;3;0,3;5;23;28;4;6;54;1,3;0,3;0,2;1,17;0,95;0,17
05/12/2020;2,055;4,8;933;0;949819;5881492;1556933;2;0,2;3;16;19;3;5;56;0,6;0,2;0,2;1,19;0,97;0,17
06/12/2020;2,18;5,2;938;0;842718;5176815;1386425;2;0,2;2;14;17,5;3;6;57;0,4;0,2;0,2;1,21;0,97;0,16
07/12/2020;2,965;8,3;936,5;0,7;719377;4474821;1183119;2,5;0,2;2;12;14,5;3,5;5;60,5;0,3;0,15;0,1;1,16;0,97;0,14
08/12/2020;2,43;6,8;939;2,65;743087;4651968;1240396;2;0,2;2;12;16;3;4;65,5;0,35;0,15;0,1;1,17;0,97;0,16
09/12/2020;1,505;6;945;0;1369501;8719802;2293915;2,5;0,3;7;29,5;41,5;4;6,5;45;1,2;0,4;0,3;1,25;0,98;0,15
10/12/2020;2,31;10;940,5;0,3;1359944;8493338;2243184;2,5;0,25;6;21,5;31;4;7;44;0,85;0,2;0,4;1,19;0,99;0,14
11/12/2020;2,81;13,6;938;2,7;1386786;8658845;2285094;2;0,2;3,5;15,5;23;4;5;46;1,05;0,1;0,2;1,16;0,98;0,13
12/12/2020;2,69;11,65;941,5;0;990968;6188010;1617022;2,5;0,2;3;15;20,5;4;11;67,5;0,55;0,2;0,2;1,265;1,135;0,13
13/12/2020;0,6;9,2;943,5;0;817708;5049922;1343870;3,5;0,4;9;37,5;51,5;10;17;24;1,5;0,4;0,35;1,445;1,295;0,155
14/12/2020;0,915;10,6;940,5;2,35;1303964;8324035;2189378;3,5;0,4;18;42,5;70,5;12;20;13;2,2;0,5;0,4;1,43;1,28;0,155
15/12/2020;1,565;9,2;943;0;1346519;8620502;2256065;3;0,3;7;30;40;4;8;44,5;1;0,2;0,1;1,22;0,98;0,15
16/12/2020;0,65;8,2;943,5;0,2;1370109;8689123;2307483;3,5;0,4;16,5;52;75,5;8;14;17;2,1;0,4;0,3;1,35;1,18;0,17
17/12/2020;0,5;10,65;948,5;0,1;1417683;8977878;2358005;4,5;0,4;29;52;100;12;20;15;2,8;0,45;0,3;1,34;1,06;0,19
18/12/2020;0,565;8,1;949;0;1396333;9062554;2360472;4,5;0,5;38,5;53,5;114,5;18;28;5,5;4,1;0,6;0,6;1,44;1,24;0,24
19/12/2020;0,895;8;946,5;2,25;973675;5968428;1595399;2,5;0,3;5;31,5;40;12,5;16;25;1,25;0,35;0,4;1,34;1,09;0,16
20/12/2020;0,55;8,7;950;0,05;874612;5431899;1427616;3;0,35;10,5;34;49;9;13;26,5;1,25;0,4;0,3;1,49;1,13;0,15
21/12/2020;0,545;8,2;953,5;0,2;1346386;8513414;2288657;3,5;0,4;21,5;46;79,5;13;22;7,5;2,4;0,55;0,4;1,6;1,26;0,17
22/12/2020;0,63;8,5;952,5;0;1368900;8686706;2261422;4,5;0,5;42;45;108;15;20;5;3,8;0,6;0,5;1,35;1,17;0,21
23/12/2020;0,65;7,9;950,5;0,1;1293391;8187446;2147128;4;0,4;38;42,5;99,5;12;16;4,5;3,4;0,65;0,6;1,48;1,25;0,19
24/12/2020;0,81;9,1;949;0,1;898029;5581964;1471805;4;0,3;7,5;26;39;11;14;23;1,35;0,45;0,2;1,3;1,08;0,15
25/12/2020;1,28;5,5;951;0;659549;4218149;1095147;3;0,3;2;14;16;3;5;48,5;0,45;0,3;0,1;1,22;1,03;0,16
26/12/2020;0,56;4,1;952;0;794204;5064158;1344375;3,5;0,4;14;40,5;61;7;10,5;32;0,8;0,45;0,3;1,26;1,06;0,18
27/12/2020;1,55;2,9;941,5;0;733658;4679083;1236775;3;0,4;13,5;32,5;54;10;13;29;1,1;0,6;0,2;1,43;1,09;0,22
28/12/2020;3,27;6,6;932;2,25;1134697;7327050;1939800;2,5;0,2;3;15;21;3;6,5;62;0,5;0,2;0,1;1,18;0,93;0,16
29/12/2020;1,93;4,3;935,5;0;1167993;7549602;1984557;2;0,3;6,5;24;34;4;7,5;47;0,55;0,2;0,1;1,21;0,95;0,16
30/12/2020;1,39;4,4;943,5;0;1193827;7846405;2051772;3;0,3;6;29;40;4;6;50;0,9;0,3;0,1;1,18;0,935;0,245
31/12/2020;1,36;3,6;941,5;0,95;899221;5699951;1530534;3;0,3;15;33;53;6,5;10;38;0,9;0,3;0,2;1,305;1,015;0,295
01/01/2021;1,51;4,2;938;0,1;611933;3877641;1038082;3,5;0,2;2;15;18,5;3;4;54,5;0,35;0,2;0,1;;;
02/01/2021;1,11;2,4;940,5;0;817719;5173774;1383266;3,5;0,3;5;24,5;32;3;5,5;47;0,55;0,4;0,2;;;
03/01/2021;1,215;2,75;941,5;0;782693;4862310;1304249;3,5;0,4;5,5;34;43;6;8;31;0,6;0,5;0,2;;;
04/01/2021;1,295;3,3;939;0;1168769;7267772;1937908;3,5;0,3;8;33;43;5;7,5;42;0,75;0,3;0,15;;;
05/01/2021;0,49;1,5;939;0;1168435;7234780;1937819;6;0,5;39;55;116,5;11;18;18,5;2,2;0,6;0,35;;;
06/01/2021;0,72;1,6;940;0;783110;4903916;1298069;4,5;0,5;8;35;48;9;14;28,5;1,2;0,7;0,2;;;
07/01/2021;0,965;0,8;939,5;1,55;878752;5586598;1506597;3;0,4;6,5;32;42,5;7;8;29;0,7;0,6;0,2;;;
08/01/2021;1,23;-0,3;937;3,55;818750;5053805;1395410;2,5;0,3;4;23,5;28;5;7;39,5;0,7;0,6;0,2;;;
09/01/2021;0,16;-0,2;933;2,7;13713;79968;16230;2;0,3;1,5;15,5;19;4,5;5;52;0,4;0,5;0,2;;;
10/01/2021;1,18;2,2;938;17;23316;162815;32760;3;0,3;1,5;18;21;6;6;51;0,4;0,5;0,1;;;
11/01/2021;0,45;0;947;1,7;105365;723599;171534;5,5;0,4;12;47;65;13,5;15;32;0,85;0,7;0,25;;;
12/01/2021;0,425;-3,4;953;0;204932;1415977;345958;6;0,5;25;69;109;25,5;28;19;1,75;1,15;0,5;;;
13/01/2021;0,405;-1,9;953,5;0;355147;2362085;588711;7;0,8;58;92;169,5;38,5;43;11;2,8;1,4;0,4;;;
14/01/2021;0,45;-0,5;952;0;482775;3216892;801230;10;0,9;96;103;249;44;49;9;4,1;1,4;0,6;;;
15/01/2021;0,46;1;952,5;0;607264;3994067;994194;10;0,9;122,5;115;302;41,5;47;7,5;4,7;1,55;0,7;;;
16/01/2021;0,425;1,4;953;0;511424;3274817;843631;9;1;121,5;111,5;294;53,5;57;8;5,2;1,85;0,7;;;
17/01/2021;0,38;1,2;953,5;0;427680;2736112;692189;11;0,9;57;93;183;39,5;46;12,5;3,1;1,55;0,4;;;
18/01/2021;0,43;2,8;952,5;0;829907;5548772;1392995;10;0,8;71,5;88,5;196;30;30;10;3,5;1,1;0,4;;;
19/01/2021;0,505;2,3;950;0;868098;5603986;1443324;8;0,6;40,5;70;132,5;20;22;12;2,45;1;0,4;;;
20/01/2021;0,735;4,1;940,5;3,6;959970;6219513;1581721;6;0,5;26,5;72,5;115;19;22;10,5;2,8;1;0,4;;;
21/01/2021;2,45;7,95;940,5;2;1075224;7023580;1786732;4;0,25;4;22;28;4;4;45,5;0,55;0,2;0,1;;;
22/01/2021;3,06;8;938;4,05;1167589;7558855;1934429;3;0,25;3;21;25;3;5;56,5;0,7;0,2;0,1;;;
23/01/2021;2,67;6,35;940;1,3;729608;4690410;1235531;3;0,2;2;13;17;3;6;54,5;0,4;0,3;0,1;;;
24/01/2021;2,535;9,95;939;0;616269;3915965;1022833;3;0,2;1;12;15;4;7;62;0,35;0,25;0,1;;;
25/01/2021;2,42;10,6;940;0;1065667;7144459;1805784;3;0,25;3;19;25;3;6;41;0,75;0,2;0,15;;;
26/01/2021;0,97;12,2;946;0;1112278;7338393;1878597;3;0,25;10;27;42;5;8;22;1,1;0,25;0,2;;;
27/01/2021;0,7;13,9;948;0;1110099;7413835;1900242;4,5;0,4;24;33;73;8;13;16;2,2;0,4;0,3;;;
28/01/2021;0,605;11;948;0;1093624;7296805;1855273;3;0,25;14;29;50;9;12;14,5;1,8;0,3;0,3;;;
29/01/2021;0,815;10,05;946;0;1161038;7515845;1907797;3;0,3;15;28;55;9;14;18;2,35;0,3;0,25;;;
30/01/2021;3,24;10,25;940;5,75;746434;4716192;1227467;3;0,2;2;10;14;4;6;53,5;0,4;0,2;0,1;;;
31/01/2021;2,84;10,4;940;0;612272;3877809;995167;3;0,2;1;10;13;3;7;62;0,35;0,2;0,1;;;
